molecule	logP	Encap_Efficiency	n_beads	epsilon_W	epsilon_EO	epsilon_N1	epsilon_polymer	relative_polymer_over_W	delta_polymer_minus_W	plape_plape	plape_res	res_res	res-rest
HEaSC00078	-1.344200	0.033333	1	3.420000	2.773986	2.310000	5.083986	1.486546	1.663986	-25989.900000	-23.007100	-1.143660	-1343.700000
HEaSC00349	-1.333800	0.033467	1	4.520000	3.787314	3.070000	6.857314	1.517105	2.337314	-26234.600000	-44.365300	-4.769360	-2748.020000
HEaSC00139	-1.309400	0.059400	2	5.930000	5.218112	4.620000	9.838112	1.659041	3.908112	-25858.000000	-73.001300	-3.470410	-2164.400000
HEaSC00417	-1.285000	0.165600	4	10.850000	10.090590	9.240000	19.330590	1.781621	8.480590	-26117.200000	-381.478000	-42.478900	-3416.280000
HEaSC00274	-1.236300	0.191267	3	9.200000	8.184331	7.540000	15.724331	1.709166	6.524331	-26018.500000	-468.306000	-32.148900	-3309.250000
HEaSC00064	-1.229300	0.035067	1	3.830000	3.218890	2.770000	5.988890	1.563679	2.158890	-26094.200000	-36.442700	-2.219700	-1892.430000
HEaSC00057	-1.213600	0.034133	1	3.830000	3.218890	2.770000	5.988890	1.563679	2.158890	-26024.100000	-35.746300	-2.446770	-1895.600000
HEaSC00469	-1.194500	0.137600	3	9.200000	8.184331	7.540000	15.724331	1.709166	6.524331	-25980.900000	-315.707000	-20.086200	-3343.630000
HEaSC00354	-1.187500	0.077067	2	6.380000	6.044802	5.380000	11.424802	1.790721	5.044802	-26151.700000	-155.730000	-8.901750	-3246.280000
HEaSC00475	-1.180500	0.187467	3	9.700000	8.669262	8.150000	16.819262	1.733945	7.119262	-26058.300000	-424.839000	-24.569100	-3735.050000
HEaSC00249	-1.161400	0.304867	4	12.200000	11.000579	10.460000	21.460579	1.759064	9.260579	-25869.200000	-1017.770000	-165.880000	-3974.370000
HEaSC00472	-1.154400	0.163600	3	9.200000	8.184331	7.540000	15.724331	1.709166	6.524331	-26143.900000	-314.175000	-19.691400	-3347.250000
HEaSC00470	-1.154400	0.159267	3	9.200000	8.184331	7.540000	15.724331	1.709166	6.524331	-26073.700000	-318.508000	-18.703900	-3343.160000
