molecule	logP	Encap_Efficiency	n_beads	epsilon_W	epsilon_EO	epsilon_N1	epsilon_polymer	relative_polymer_over_W	delta_polymer_minus_W	plape_plape	plape_res	res_res	res-rest
HEaSC00179	0.348200	0.109733	1	2.740000	2.816248	2.920000	5.736248	2.093521	2.996248	-26083.600000	-145.594000	-2.042320	-1199.680000
HEaSC00589	0.356900	0.076333	1	3.700000	3.382492	3.390000	6.772492	1.830403	3.072492	-26038.400000	-123.363000	-4.635100	-2109.180000
HEaSC00181	0.362200	0.116333	1	2.740000	2.962263	2.920000	5.882263	2.146811	3.142263	-25873.100000	-168.728000	-2.471650	-1188.850000
HEaSC00302	0.395300	0.071400	1	3.700000	3.382492	3.390000	6.772492	1.830403	3.072492	-26242.100000	-118.976000	-4.382070	-2113.050000
HEaSC00074	0.400500	0.113200	1	1.860000	2.257488	2.310000	4.567488	2.455639	2.707488	-26181.400000	-101.917000	-0.647062	-599.097000
HEaSC00575	0.404000	0.621000	3	7.220000	7.830785	7.340000	15.170785	2.101217	7.950785	-25520.100000	-2150.090000	-60.782900	-1540.560000
HEaSC00574	0.409200	0.290067	2	6.460000	6.253872	6.550000	12.803872	1.982024	6.343872	-25585.600000	-835.812000	-28.093200	-2762.030000
HEaSC00148	0.410900	0.075667	1	3.700000	3.382492	3.390000	6.772492	1.830403	3.072492	-26074.300000	-128.250000	-4.597580	-2106.250000
HEaSC00152	0.410900	0.281933	2	4.020000	5.222068	4.420000	9.642068	2.398524	5.622068	-25907.200000	-507.505000	-4.253500	-1168.390000
HEaSC00209	0.459700	0.223267	2	5.020000	5.260374	5.230000	10.490374	2.089716	5.470374	-25917.800000	-479.107000	-6.730660	-1715.190000
HEaSC00303	0.527600	0.266867	2	4.860000	5.219751	5.230000	10.449751	2.150155	5.589751	-25952.500000	-588.047000	-7.937980	-1677.510000
HEaSC00219	0.529300	0.308067	2	3.870000	4.701614	4.620000	9.321614	2.408686	5.451614	-26012.200000	-557.716000	-3.805930	-1061.410000
HEaSC00526	0.534600	0.500267	2	5.480000	5.924526	5.840000	11.764526	2.146811	6.284526	-25596.000000	-1437.340000	-33.408800	-1622.480000
HEaSC00367	0.538000	0.730800	3	6.700000	7.797579	7.920000	15.717579	2.345907	9.017579	-24925.400000	-2620.440000	-144.818000	-1225.740000
HEaSC00600	0.564200	0.247067	2	5.560000	5.639980	5.700000	11.339980	2.039565	5.779980	-25635.300000	-602.699000	-13.972100	-2373.680000
HEaSC00570	0.574600	0.556133	3	6.700000	8.151125	7.340000	15.491125	2.312108	8.791125	-25660.800000	-1662.630000	-105.553000	-1719.560000
HEaSC00207	0.574600	0.775000	3	8.120000	8.060804	8.630000	16.690804	2.055518	8.570804	-24447.600000	-3384.260000	-127.414000	-1266.810000
HEaSC00422	0.599000	0.861800	4	11.120000	11.205793	11.070000	22.275793	2.003219	11.155793	-24458.500000	-4315.950000	-515.783000	-1564.770000
HEaSC00419	0.621600	0.886200	4	11.120000	11.205793	11.070000	22.275793	2.003219	11.155793	-24563.100000	-4436.090000	-518.211000	-1487.430000
HEaSC00095	0.637300	0.223533	1	1.550000	2.257488	2.500000	4.757488	3.069347	3.207488	-25971.100000	-261.245000	-0.901590	-420.243000
HEaSC00101	0.658200	0.435467	2	6.390000	6.665628	6.010000	12.675628	1.983666	6.285628	-25844.000000	-1337.180000	-44.614500	-2291.790000
HEaSC00053	0.661700	0.234067	1	2.510000	2.724885	3.160000	5.884885	2.344576	3.374885	-25949.300000	-405.921000	-2.443950	-955.609000
HEaSC00594	0.665100	0.375533	2	5.480000	5.924526	5.840000	11.764526	2.146811	6.284526	-25736.600000	-1002.730000	-21.448600	-1838.110000
HEaSC00034	0.668600	0.230333	1	2.510000	2.724885	3.160000	5.884885	2.344576	3.374885	-25919.100000	-397.749000	-2.468160	-956.812000
HEaSC00361	0.668600	0.142400	1	2.510000	2.816248	2.920000	5.736248	2.285358	3.226248	-26040.900000	-207.932000	-2.230900	-1045.000000
HEaSC00043	0.675600	0.242400	1	2.510000	2.724885	3.160000	5.884885	2.344576	3.374885	-25990.700000	-415.898000	-2.326110	-949.905000
HEaSC00119	0.679100	0.150200	1	2.510000	2.816248	2.920000	5.736248	2.285358	3.226248	-25951.800000	-219.360000	-2.223580	-1036.080000
HEaSC00593	0.684300	0.359533	2	5.480000	5.924526	5.840000	11.764526	2.146811	6.284526	-25798.200000	-897.550000	-19.676800	-1891.620000
HEaSC00026	0.689500	0.234133	1	1.550000	2.257488	2.500000	4.757488	3.069347	3.207488	-25907.400000	-267.016000	-0.885052	-417.401000
HEaSC00464	0.696500	0.618867	2	4.900000	5.427282	5.230000	10.657282	2.174956	5.757282	-25493.600000	-1752.940000	-23.873700	-1004.750000
HEaSC00093	0.713900	0.432200	2	6.390000	6.665628	6.010000	12.675628	1.983666	6.285628	-25550.600000	-1316.380000	-42.325500	-2305.000000
HEaSC00351	0.715600	0.325867	2	4.600000	5.073736	5.230000	10.303736	2.239943	5.703736	-25743.400000	-768.542000	-10.301600	-1445.370000
HEaSC00350	0.715600	0.382933	2	4.600000	5.219751	5.230000	10.449751	2.271685	5.849751	-25776.600000	-917.848000	-13.855000	-1373.710000
HEaSC00467	0.733100	0.301933	2	6.210000	6.198740	6.310000	12.508740	2.014290	6.298740	-25462.500000	-880.143000	-25.055100	-2588.230000
HEaSC00067	0.736500	0.512933	2	3.730000	4.701614	4.810000	9.511614	2.550031	5.781614	-25509.700000	-1133.810000	-9.322600	-770.347000
HEaSC00216	0.748700	0.447133	2	6.210000	6.107377	6.550000	12.657377	2.038225	6.447377	-25409.200000	-1538.290000	-37.780700	-2219.750000
HEaSC00301	0.760900	0.499600	2	4.390000	5.219751	5.030000	10.249751	2.334795	5.859751	-25612.600000	-1312.220000	-18.083200	-1247.200000
HEaSC00418	0.771400	0.635600	3	8.120000	8.389545	8.150000	16.539545	2.036890	8.419545	-25359.000000	-2197.440000	-84.897800	-1810.280000
HEaSC00096	0.774800	0.319067	2	3.870000	4.888252	4.620000	9.508252	2.456913	5.638252	-26011.800000	-592.085000	-6.137240	-1044.130000
HEaSC00352	0.778300	0.318000	2	4.600000	5.073736	5.230000	10.303736	2.239943	5.703736	-25817.100000	-716.318000	-9.918740	-1470.850000
HEaSC00126	0.783500	0.208467	1	1.360000	2.257488	2.310000	4.567488	3.358447	3.207488	-26113.900000	-217.011000	-0.890531	-361.944000
HEaSC00446	0.809700	0.894000	3	6.720000	7.830785	7.780000	15.610785	2.323033	8.890785	-24736.700000	-3475.390000	-80.353800	-653.886000
HEaSC00251	0.818400	0.474467	2	3.540000	4.701614	4.620000	9.321614	2.633224	5.781614	-25662.100000	-988.227000	-7.350580	-770.479000
HEaSC00412	0.827100	0.909067	4	10.790000	11.485510	10.920000	22.405510	2.076507	11.615510	-24713.200000	-4509.150000	-494.628000	-1388.100000
HEaSC00556	0.848000	0.826733	3	7.510000	8.182014	8.390000	16.572014	2.206660	9.062014	-24629.500000	-3363.160000	-185.693000	-1082.940000
HEaSC00413	0.849700	0.903133	4	10.790000	11.485510	10.920000	22.405510	2.076507	11.615510	-24719.100000	-4473.810000	-477.257000	-1424.840000
HEaSC00262	0.856700	0.745133	2	5.250000	5.687148	6.080000	11.767148	2.241362	6.517148	-24929.600000	-2601.970000	-68.082100	-927.756000
HEaSC00445	0.861900	0.886133	3	6.720000	7.830785	7.780000	15.610785	2.323033	8.890785	-24795.400000	-3496.200000	-81.723800	-643.715000
HEaSC00460	0.874100	0.853867	3	7.430000	8.131274	8.390000	16.521274	2.223590	9.091274	-24172.700000	-3482.410000	-256.183000	-1005.080000
HEaSC00263	0.879300	0.690933	2	5.250000	5.687148	6.080000	11.767148	2.241362	6.517148	-24946.500000	-2272.910000	-54.571600	-1087.580000
HEaSC00447	0.888000	0.882067	3	6.720000	7.830785	7.780000	15.610785	2.323033	8.890785	-24756.700000	-3425.350000	-79.580700	-677.349000
HEaSC00158	0.898500	0.281267	2	3.630000	4.514976	4.420000	8.934976	2.461426	5.304976	-25736.000000	-498.267000	-3.346820	-1007.200000
HEaSC00533	0.903700	0.508800	2	5.250000	5.778511	5.840000	11.618511	2.213050	6.368511	-25482.600000	-1494.520000	-32.908900	-1483.380000
HEaSC00240	0.915900	0.375800	1	2.260000	2.816248	3.160000	5.976248	2.644358	3.716248	-25778.600000	-676.451000	-4.265220	-723.027000
HEaSC00218	0.943700	0.765067	3	8.500000	8.751055	7.860000	16.611055	1.954242	8.111055	-25454.300000	-2912.280000	-147.676000	-1499.950000
HEaSC00408	0.943700	0.968667	4	8.230000	9.588712	9.850000	19.438712	2.361933	11.208712	-24348.000000	-4873.400000	-269.110000	-481.391000
HEaSC00425	0.949000	0.827867	3	8.290000	8.545735	9.240000	17.785735	2.145445	9.495735	-24201.400000	-3721.020000	-255.813000	-1280.580000
HEaSC00265	0.950700	0.307867	2	3.630000	4.701614	4.420000	9.121614	2.512841	5.491614	-26042.000000	-550.247000	-3.923130	-984.232000
HEaSC00059	0.968100	0.239000	1	1.360000	2.444126	2.310000	4.754126	3.495681	3.394126	-26145.800000	-254.039000	-1.238510	-353.534000
HEaSC00348	0.973300	0.164400	1	3.290000	3.446738	3.390000	6.836738	2.078036	3.546738	-26024.600000	-287.066000	-6.410420	-1731.080000
HEaSC00061	0.978600	0.212667	1	1.550000	2.037462	2.500000	4.537462	2.927395	2.987462	-26051.600000	-242.226000	-0.594424	-426.230000
HEaSC00080	0.999500	0.371933	1	2.260000	2.816248	3.160000	5.976248	2.644358	3.716248	-25756.300000	-680.982000	-4.431840	-719.554000
HEaSC00341	1.004700	0.758800	3	6.470000	7.663877	7.730000	15.393877	2.379270	8.923877	-24786.200000	-2628.440000	-146.855000	-1028.570000
HEaSC00542	1.004700	0.630000	3	5.870000	8.087412	6.990000	15.077412	2.568554	9.207412	-25684.500000	-1906.550000	-85.031000	-1430.960000
HEaSC00260	1.006400	0.471267	2	4.550000	4.999725	5.420000	10.419725	2.290049	5.869725	-25584.600000	-1295.670000	-15.252600	-1226.450000
HEaSC00258	1.009900	0.447000	2	4.360000	5.406389	5.230000	10.636389	2.439539	6.276389	-25679.400000	-1038.210000	-17.052600	-1271.060000
HEaSC00500	1.018600	0.815667	3	7.430000	8.131274	8.390000	16.521274	2.223590	9.091274	-24554.100000	-3336.540000	-269.594000	-1072.050000
HEaSC00347	1.034300	0.156000	1	3.290000	3.446738	3.390000	6.836738	2.078036	3.546738	-26095.200000	-282.491000	-6.310610	-1732.360000
HEaSC00288	1.048200	0.607533	3	6.200000	6.685958	7.310000	13.995958	2.257413	7.795958	-25294.400000	-1963.990000	-68.706800	-1089.840000
HEaSC00266	1.070800	0.369933	2	4.370000	5.073736	5.230000	10.303736	2.357834	5.933736	-25628.100000	-872.116000	-11.179400	-1275.090000
HEaSC00426	1.124800	0.965933	4	11.400000	11.918532	11.390000	23.308532	2.044608	11.908532	-24411.300000	-5509.820000	-674.719000	-1124.180000
HEaSC00196	1.140500	0.945267	3	7.200000	7.893896	8.630000	16.523896	2.294986	9.323896	-23852.800000	-4435.280000	-206.964000	-536.067000
HEaSC00549	1.164900	0.756067	2	5.800000	6.171623	6.550000	12.721623	2.193383	6.921623	-24887.600000	-2723.310000	-116.364000	-1284.910000
HEaSC00081	1.168400	0.881733	2	5.020000	5.449770	6.320000	11.769770	2.344576	6.749770	-24403.500000	-3448.330000	-66.836000	-508.947000
HEaSC00086	1.175300	0.898867	2	5.020000	5.449770	6.320000	11.769770	2.344576	6.749770	-24298.200000	-3543.940000	-72.258000	-471.790000
HEaSC00527	1.175300	0.763133	3	5.400000	6.959102	6.930000	13.889102	2.572056	8.489102	-25150.500000	-2373.730000	-86.163700	-683.014000
HEaSC00427	1.180500	0.960067	4	11.400000	11.918532	11.390000	23.308532	2.044608	11.908532	-24394.900000	-5444.060000	-670.511000	-1150.530000
HEaSC00130	1.187500	0.657533	2	5.020000	5.632496	5.840000	11.472496	2.285358	6.452496	-24981.100000	-2055.920000	-42.313600	-1124.440000
HEaSC00438	1.194500	0.875333	4	7.590000	9.029952	9.240000	18.269952	2.407108	10.679952	-24617.400000	-3513.490000	122.488000	-666.663000
HEaSC00406	1.213600	0.962600	4	7.900000	9.775350	9.850000	19.625350	2.484222	11.725350	-24292.000000	-4645.560000	-312.636000	-514.102000
HEaSC00397	1.229300	0.872467	3	6.720000	7.593407	7.780000	15.373407	2.287709	8.653407	-24677.400000	-3512.590000	-67.275300	-644.687000
HEaSC00544	1.239700	0.803800	3	6.280000	7.850515	7.540000	15.390515	2.450719	9.110515	-25089.600000	-2762.040000	-165.363000	-913.509000
HEaSC00313	1.243200	0.505000	2	4.100000	5.406389	5.230000	10.636389	2.594241	6.536389	-25518.600000	-1242.460000	-20.671700	-1052.480000
HEaSC00431	1.245000	0.530333	2	5.020000	5.632496	5.840000	11.472496	2.285358	6.452496	-25424.600000	-1552.270000	-29.390900	-1346.960000
HEaSC00186	1.251900	0.779867	2	3.100000	4.888252	5.000000	9.888252	3.189759	6.788252	-25320.100000	-1908.330000	-28.480600	-331.820000
HEaSC00380	1.257200	0.417667	2	5.020000	5.632496	5.840000	11.472496	2.285358	6.452496	-25456.300000	-1120.160000	-21.072500	-1553.800000
HEaSC00314	1.260600	0.496533	2	4.290000	4.999725	5.420000	10.419725	2.428840	6.129725	-25358.000000	-1306.210000	-19.242900	-1082.420000
HEaSC00573	1.269300	0.668533	2	5.020000	5.541133	6.080000	11.621133	2.314967	6.601133	-24907.300000	-2151.130000	-38.494600	-1062.910000
HEaSC00461	1.285000	0.568067	2	4.310000	5.260374	5.230000	10.490374	2.433961	6.180374	-25478.600000	-1429.890000	-19.987100	-934.386000
HEaSC00548	1.286800	0.824467	2	5.800000	6.171623	6.550000	12.721623	2.193383	6.921623	-24540.900000	-3145.540000	-140.866000	-1075.560000
HEaSC00097	1.295500	0.274667	1	2.020000	2.962263	2.770000	5.732263	2.837754	3.712263	-25813.000000	-412.864000	-4.682420	-705.756000
HEaSC00051	1.300700	0.283467	1	2.020000	2.962263	2.770000	5.732263	2.837754	3.712263	-26017.800000	-419.340000	-4.467830	-703.417000
HEaSC00107	1.319800	0.278267	1	2.020000	2.962263	2.770000	5.732263	2.837754	3.712263	-25922.700000	-413.238000	-4.308710	-705.732000
HEaSC00389	1.342500	0.831933	3	6.480000	7.684770	7.540000	15.224770	2.349502	8.744770	-24946.300000	-3092.650000	-65.763200	-748.038000
HEaSC00058	1.344200	0.357067	1	0.920000	2.611034	2.110000	4.721034	5.131559	3.801034	-26104.500000	-359.078000	-2.612310	-177.368000
HEaSC00063	1.347700	0.347733	1	0.920000	2.611034	2.110000	4.721034	5.131559	3.801034	-25861.000000	-351.873000	-2.772480	-179.082000
HEaSC00462	1.349400	0.490333	2	4.310000	5.260374	5.080000	10.340374	2.399159	6.030374	-25681.200000	-1150.270000	-14.976200	-1060.560000
HEaSC00551	1.363400	0.470867	2	4.310000	5.260374	5.080000	10.340374	2.399159	6.030374	-25699.300000	-1090.040000	-14.768300	-1085.130000
HEaSC00255	1.368600	0.544733	2	3.920000	5.573297	5.030000	10.603297	2.704923	6.683297	-25676.800000	-1275.830000	-23.230300	-1028.540000
HEaSC00550	1.391200	0.601067	2	5.800000	6.171623	6.550000	12.721623	2.193383	6.921623	-25154.300000	-1937.170000	-87.192400	-1677.350000
HEaSC00312	1.394700	0.333533	1	2.020000	2.816248	2.920000	5.736248	2.839727	3.716248	-25663.900000	-539.821000	-3.801010	-660.701000
HEaSC00131	1.396500	0.357133	1	2.020000	2.962263	2.920000	5.882263	2.912011	3.862263	-25816.400000	-577.927000	-5.722860	-646.677000
HEaSC00153	1.398200	0.328000	1	2.020000	2.816248	2.920000	5.736248	2.839727	3.716248	-25773.000000	-538.827000	-4.260160	-660.418000
HEaSC00103	1.403400	0.257200	1	3.040000	3.306811	3.520000	6.826811	2.245662	3.786811	-25848.300000	-541.970000	-7.974440	-1432.350000
HEaSC00257	1.408600	0.328133	1	2.020000	2.816248	2.920000	5.736248	2.839727	3.716248	-25843.900000	-532.615000	-4.119900	-662.940000
HEaSC00322	1.419100	0.525267	2	4.800000	5.632496	5.690000	11.322496	2.358853	6.522496	-25395.000000	-1498.730000	-26.849300	-1291.350000
HEaSC00323	1.424300	0.672067	2	4.800000	5.632496	5.690000	11.322496	2.358853	6.522496	-25007.300000	-2069.520000	-39.933200	-1034.830000
HEaSC00052	1.433000	0.359067	1	2.020000	2.962263	2.920000	5.882263	2.912011	3.862263	-25855.100000	-580.973000	-5.856260	-646.165000
HEaSC00134	1.441700	0.270600	1	3.040000	3.306811	3.520000	6.826811	2.245662	3.786811	-25614.600000	-559.832000	-7.923950	-1422.690000
HEaSC00050	1.450400	0.367067	1	2.020000	2.962263	2.920000	5.882263	2.912011	3.862263	-25795.400000	-599.367000	-5.707470	-639.081000
HEaSC00044	1.487000	0.343800	1	2.780000	3.382492	3.390000	6.772492	2.436148	3.992492	-25718.000000	-677.215000	-12.437100	-1203.580000
HEaSC00031	1.499200	0.347333	1	2.780000	3.382492	3.390000	6.772492	2.436148	3.992492	-25806.700000	-690.269000	-12.569500	-1195.110000
HEaSC00035	1.500900	0.340267	1	2.780000	3.382492	3.390000	6.772492	2.436148	3.992492	-25885.300000	-686.919000	-12.279600	-1198.780000
HEaSC00496	1.511400	0.713533	2	2.720000	4.514976	4.620000	9.134976	3.358447	6.414976	-25179.300000	-1544.600000	-18.478300	-354.788000
HEaSC00282	1.511400	0.434933	1	1.800000	2.816248	2.920000	5.736248	3.186804	3.936248	-25727.100000	-730.795000	-5.991990	-500.026000
HEaSC00241	1.516600	0.648600	2	3.870000	5.260374	5.230000	10.490374	2.710691	6.620374	-25179.000000	-1674.820000	-29.845100	-777.007000
HEaSC00384	1.527000	0.901867	3	6.150000	7.964487	7.390000	15.354487	2.496665	9.204487	-25082.900000	-3203.300000	-87.438400	-608.986000
HEaSC00569	1.535800	0.436333	1	1.800000	2.816248	2.920000	5.736248	3.186804	3.936248	-25702.100000	-740.838000	-6.338820	-495.701000
HEaSC00571	1.547900	0.692133	3	6.480000	7.871408	7.540000	15.411408	2.378304	8.931408	-25145.800000	-2253.860000	-122.723000	-1140.610000
HEaSC00217	1.584500	0.922533	2	5.550000	6.031696	6.680000	12.711696	2.290396	7.161696	-24086.600000	-3980.820000	-123.822000	-622.549000
HEaSC00281	1.591500	0.344467	1	1.800000	2.816248	2.770000	5.586248	3.103471	3.786248	-25685.200000	-511.007000	-4.652990	-567.845000
HEaSC00336	1.591500	0.342067	1	1.800000	2.816248	2.770000	5.586248	3.103471	3.786248	-25753.600000	-501.768000	-4.484780	-570.483000
HEaSC00590	1.603700	0.618200	2	3.980000	5.260374	5.080000	10.340374	2.598084	6.360374	-25406.000000	-1569.470000	-26.048800	-780.485000
HEaSC00151	1.626300	0.454933	1	1.690000	3.095965	2.770000	5.865965	3.470985	4.175965	-25788.500000	-718.843000	-10.433000	-457.846000
HEaSC00054	1.648900	0.450000	1	1.690000	3.095965	2.770000	5.865965	3.470985	4.175965	-25846.500000	-727.933000	-10.017900	-454.544000
HEaSC00309	1.657600	0.461467	1	1.690000	3.095965	2.770000	5.865965	3.470985	4.175965	-25843.100000	-723.400000	-10.022800	-457.556000
HEaSC00391	1.689000	0.925800	3	5.890000	7.331224	7.540000	14.871224	2.524826	8.981224	-24615.000000	-3599.230000	-91.471500	-410.486000
HEaSC00497	1.713400	0.446400	1	2.780000	3.382492	3.520000	6.902492	2.482911	4.122492	-25607.900000	-951.293000	-16.546300	-1076.260000
HEaSC00591	1.722100	0.606133	2	3.630000	5.073736	5.030000	10.103736	2.783398	6.473736	-25423.500000	-1466.510000	-23.777100	-794.862000
HEaSC00355	1.758600	0.770067	2	2.670000	4.701614	4.610000	9.311614	3.487496	6.641614	-25284.200000	-1680.170000	-19.354800	-305.664000
HEaSC00566	1.763900	0.436667	1	2.780000	3.446738	3.520000	6.966738	2.506021	4.186738	-25271.000000	-933.038000	-16.971300	-1085.830000
HEaSC00356	1.772600	0.774267	2	2.670000	4.701614	4.610000	9.311614	3.487496	6.641614	-25350.500000	-1737.270000	-21.458700	-291.846000
HEaSC00041	1.810900	0.773333	2	5.560000	6.262986	6.160000	12.422986	2.234350	6.862986	-25124.100000	-2696.580000	-118.504000	-1138.780000
HEaSC00083	1.814300	0.640800	2	5.070000	5.890864	5.550000	11.440864	2.256581	6.370864	-25362.400000	-1791.580000	-60.334600	-1240.890000
HEaSC00379	1.824800	0.929667	3	7.620000	8.060804	8.630000	16.690804	2.190394	9.070804	-24108.100000	-4282.090000	-89.086500	-651.230000
HEaSC00376	1.828300	0.900333	3	7.380000	8.152167	8.390000	16.542167	2.241486	9.162167	-24399.200000	-3905.910000	-110.368000	-715.036000
HEaSC00098	1.838700	0.798133	2	2.720000	4.888252	4.620000	9.508252	3.495681	6.788252	-25477.000000	-1793.950000	-33.790500	-285.579000
HEaSC00099	1.870100	0.728467	2	2.720000	4.888252	4.620000	9.508252	3.495681	6.788252	-25382.100000	-1549.330000	-25.186800	-350.629000
HEaSC00498	1.871800	0.756667	2	4.530000	5.632496	5.840000	11.472496	2.532560	6.942496	-24818.300000	-2295.810000	-54.400200	-812.900000
HEaSC00089	1.878800	0.934933	2	4.530000	5.687148	6.080000	11.767148	2.597604	7.237148	-24443.700000	-3410.710000	-102.289000	-380.171000
HEaSC00378	1.885700	0.892333	3	7.140000	8.243530	8.150000	16.393530	2.296013	9.253530	-24629.700000	-3553.120000	-108.909000	-791.725000
HEaSC00214	1.922300	0.696267	2	6.260000	6.829230	6.630000	13.459230	2.150037	7.199230	-25221.100000	-2501.510000	-137.025000	-1773.570000
HEaSC00395	2.005900	0.970267	3	5.560000	7.517862	7.540000	15.057862	2.708249	9.497862	-24590.800000	-3889.590000	-109.604000	-275.655000
HEaSC00254	2.025000	0.841467	2	2.280000	4.868522	4.420000	9.288522	4.073913	7.008522	-25353.300000	-1792.260000	-33.415100	-206.797000
HEaSC00311	2.068600	0.759867	2	2.480000	4.701614	4.420000	9.121614	3.678070	6.641614	-25311.000000	-1611.650000	-20.936100	-286.163000
HEaSC00403	2.133000	0.992333	3	8.060000	8.756581	9.840000	18.596581	2.307268	10.536581	-23204.800000	-5999.600000	-365.281000	-480.780000
HEaSC00036	2.207900	0.406333	1	2.560000	3.446738	3.240000	6.686738	2.612007	4.126738	-25729.600000	-778.344000	-19.549000	-1023.340000
HEaSC00132	2.237500	0.404400	1	2.560000	3.446738	3.240000	6.686738	2.612007	4.126738	-25866.400000	-776.225000	-19.499000	-1023.290000
HEaSC00387	2.239200	0.977600	3	5.230000	7.797579	7.390000	15.187579	2.903935	9.957579	-24745.100000	-3783.800000	-130.312000	-257.121000
HEaSC00040	2.242700	0.412933	1	2.560000	3.446738	3.240000	6.686738	2.612007	4.126738	-25793.300000	-795.585000	-19.285700	-1015.710000
HEaSC00092	2.246200	0.402867	1	2.560000	3.446738	3.240000	6.686738	2.612007	4.126738	-25580.800000	-774.766000	-18.712300	-1025.360000
HEaSC00286	2.254900	0.790200	2	3.380000	5.260374	5.230000	10.490374	3.103661	7.110374	-25082.200000	-2110.390000	-45.854700	-451.047000
HEaSC00459	2.267100	0.900467	3	7.480000	8.853127	8.470000	17.323127	2.315926	9.843127	-24644.500000	-3672.630000	-338.993000	-1011.030000
HEaSC00114	2.268800	0.416800	1	2.560000	3.446738	3.240000	6.686738	2.612007	4.126738	-25744.900000	-795.324000	-19.832500	-1013.860000
HEaSC00605	2.274000	0.412667	1	2.560000	3.446738	3.240000	6.686738	2.612007	4.126738	-25777.200000	-781.453000	-19.408200	-1020.110000
HEaSC00037	2.275800	0.407333	1	2.560000	3.446738	3.240000	6.686738	2.612007	4.126738	-25857.100000	-789.895000	-19.261500	-1016.850000
HEaSC00113	2.277500	0.410467	1	2.560000	3.446738	3.240000	6.686738	2.612007	4.126738	-25561.200000	-769.329000	-19.145600	-1028.120000
HEaSC00042	2.282700	0.403867	1	2.560000	3.446738	3.240000	6.686738	2.612007	4.126738	-25934.300000	-778.961000	-19.133500	-1023.180000
HEaSC00038	2.291400	0.411600	1	2.560000	3.446738	3.240000	6.686738	2.612007	4.126738	-25569.300000	-794.569000	-19.199500	-1016.540000
HEaSC00568	2.357600	0.565867	1	2.420000	3.382492	3.390000	6.772492	2.798550	4.352492	-25433.300000	-1164.610000	-26.928300	-790.609000
HEaSC00242	2.364600	0.941800	2	5.060000	6.269074	6.440000	12.709074	2.511675	7.649074	-24441.500000	-3685.860000	-176.235000	-578.105000
HEaSC00567	2.368100	0.568067	1	2.420000	3.382492	3.390000	6.772492	2.798550	4.352492	-25540.400000	-1220.640000	-27.599000	-765.995000
HEaSC00115	2.371500	0.829667	2	4.420000	5.704226	5.550000	11.254226	2.546205	6.834226	-24980.900000	-2488.640000	-100.467000	-738.883000
HEaSC00203	2.383700	0.989667	3	7.040000	8.412033	9.240000	17.652033	2.507391	10.612033	-23293.200000	-5327.190000	-350.148000	-344.912000
HEaSC00547	2.430700	0.902533	2	5.850000	6.893476	6.630000	13.523476	2.311705	7.673476	-24810.900000	-3553.870000	-231.051000	-1026.340000
HEaSC00606	2.472500	0.808200	2	3.160000	5.260374	5.080000	10.340374	3.272270	7.180374	-25076.800000	-2020.020000	-45.430800	-417.076000
HEaSC00082	2.491700	0.960333	2	5.070000	6.171623	6.400000	12.571623	2.479610	7.501623	-24311.700000	-3737.020000	-200.106000	-508.102000
HEaSC00157	2.498600	0.605867	1	2.300000	3.528987	3.240000	6.768987	2.943038	4.468987	-25613.000000	-1200.280000	-41.361400	-703.917000
HEaSC00315	2.523000	0.609533	1	2.300000	3.528987	3.240000	6.768987	2.943038	4.468987	-25675.600000	-1206.820000	-42.880400	-702.824000
HEaSC00128	2.542200	0.602267	1	2.300000	3.528987	3.240000	6.768987	2.943038	4.468987	-25663.000000	-1211.580000	-42.983200	-699.007000
HEaSC00032	2.543900	0.598267	1	2.300000	3.528987	3.240000	6.768987	2.943038	4.468987	-25565.100000	-1205.560000	-41.164000	-704.509000
HEaSC00033	2.547400	0.584800	1	2.300000	3.528987	3.240000	6.768987	2.943038	4.468987	-25574.200000	-1175.600000	-40.649600	-714.721000
HEaSC00091	2.550900	0.625133	1	2.300000	3.528987	3.240000	6.768987	2.943038	4.468987	-25601.900000	-1201.700000	-43.094300	-703.677000
HEaSC00102	2.590900	0.951133	2	4.040000	5.924526	5.840000	11.764526	2.912011	7.724526	-24653.700000	-3280.520000	-127.111000	-308.596000
HEaSC00138	2.599600	0.893867	2	1.840000	5.222068	4.220000	9.442068	5.131559	7.602068	-25560.400000	-1812.280000	-77.390200	-135.963000
HEaSC00109	2.650100	0.894867	2	4.160000	5.786475	5.550000	11.336475	2.725114	7.176475	-24878.900000	-2785.680000	-133.720000	-522.214000
HEaSC00084	2.681500	0.896200	2	4.040000	5.924526	5.840000	11.764526	2.912011	7.724526	-24633.900000	-2781.380000	-105.717000	-471.523000
HEaSC00424	2.716300	0.836333	2	4.040000	5.632496	5.840000	11.472496	2.839727	7.432496	-24585.900000	-2529.740000	-75.210800	-564.699000
HEaSC00604	2.796400	0.910533	2	2.720000	5.427282	4.880000	10.307282	3.789442	7.587282	-25052.600000	-2295.710000	-77.711700	-258.031000
HEaSC00284	2.871300	0.918000	2	2.610000	5.706999	4.880000	10.586999	4.056321	7.976999	-25216.600000	-2201.720000	-150.592000	-240.988000
HEaSC00307	2.965300	0.982400	2	3.600000	5.632496	5.540000	11.172496	3.103471	7.572496	-24692.900000	-3478.400000	-142.016000	-178.973000
HEaSC00094	3.149900	0.967333	2	4.580000	6.409001	6.160000	12.569001	2.744323	7.989001	-24621.000000	-3444.620000	-277.431000	-464.531000
