compound,logP,split,stratum
2-Phenoxyethanol,2.1570000648498535,test,
HEaSC00348,0.9732999801635742,test,
HEaSC00031,1.4991999864578247,test,
2_7_8_9-Tricyclazole,5.499499797821045,test,
3-methoxyPhenol,4.320899963378906,test,
HEaSC00288,1.048200011253357,test,
TN6d,-0.7181994915008545,test,
HEaSC00428,-0.6859999895095825,test,
HEaSC00390,-0.03480000048875809,test,
HEaSC00354,-1.1875,test,
HEaSC00120,-0.555400013923645,test,
PentachloroAniline,5.960899829864502,test,
2-methoxyAniline,5.010300159454346,test,
HEaSC00216,0.7487000226974487,test,
2-methoxy-5-nitroAniline,5.081699848175049,test,
2-methylPhenol,4.81879997253418,test,
N6a,0.17517060041427612,test,
HEaSC00258,1.0098999738693237,test,
HEaSC00439,-1.88919997215271,test,
HEaSC00112,0.04699999839067459,test,
HEaSC00406,1.2136000394821167,test,
SN6d,-0.4379265010356903,test,
Sodium_2-methoxy-5-nitroPhenolate,6.037499904632568,test,
HEaSC00081,1.1684000492095947,test,
HEaSC00037,2.2757999897003174,test,
Diflufenzopyr,10.777899742126465,test,
SN4,-0.1576535403728485,test,
SN1d,1.0510236024856567,test,
HEaSC00445,0.8618999719619751,test,
Chloramben,3.5201001167297363,test,
HEaSC00185,-0.9872999787330627,test,
HEaSC00249,-1.1613999605178833,test,
P2a,-0.33282414078712463,test,
Mandestrobin,13.283100128173828,test,
Propyl-3-tert-butylphenoxyacetate,8.47819995880127,test,
Esprocarb,10.191300392150879,test,
TN3a,-0.24523884057998657,test,
HEaSC00471,0.17059999704360962,test,
P1a,0.035034120082855225,test,
Carbofuran,4.277400016784668,test,
SX2,1.261228322982788,test,
