compound,encapsulation_mean
HEaSC00218,0.765067
HEaSC00219,0.308067
HEaSC00220,0.538133
HEaSC00222,0.128133
HEaSC00228,0.269667
HEaSC00230,0.528733
HEaSC00231,0.112467
HEaSC00235,0.130267
HEaSC00240,0.3758
HEaSC00241,0.6486
HEaSC00245,0.380333
HEaSC00249,0.304867
HEaSC00250,0.179733
HEaSC00251,0.474467
HEaSC00252,0.042
HEaSC00253,0.0585333
HEaSC00254,0.841467
HEaSC00255,0.544733
HEaSC00256,0.4108
HEaSC00258,0.447
HEaSC00259,0.2664
HEaSC00260,0.471267
HEaSC00262,0.745133
HEaSC00263,0.690933
HEaSC00264,0.150267
HEaSC00265,0.307867
HEaSC00266,0.369933
HEaSC00273,0.210267
HEaSC00274,0.191267
HEaSC00281,0.344467
HEaSC00282,0.434933
HEaSC00284,0.918
HEaSC00286,0.7902
HEaSC00287,0.213
HEaSC00288,0.607533
HEaSC00289,0.235667
HEaSC00290,0.9582
HEaSC00294,0.211733
HEaSC00296,0.0616667
HEaSC00297,0.195933
HEaSC00298,0.0767333
HEaSC00299,0.0894667
HEaSC00301,0.4996
HEaSC00302,0.0714
HEaSC00303,0.266867
HEaSC00304,0.0384
HEaSC00305,0.261333
HEaSC00306,0.133733
HEaSC00307,0.9824
HEaSC00309,0.461467
HEaSC00311,0.759867
HEaSC00312,0.333533
HEaSC00313,0.505
HEaSC00314,0.496533
HEaSC00315,0.609533
"1,2-dimethoxybenzene",0.99773
"1,4-dimethoxybenzene",0.99693
1-Naphthol,0.9982
1-methylIndole,0.998
1_4-Diaminoanthraquinone,0.998
2-Hydroxy-4-methoxybenzophenone,0.99967
2-Hydroxyacetophenone,0.98587
2-Methyl-4_6-dinitroPhenol,0.99
2-Naphthalenol,0.99813
2-Phenoxyethanol,0.8372
2-PhenylPhenol,0.99933
2-chloroAniline,0.9112
2-chloroPhenol,0.97727
2-hydroxyPhenol,0.95713
2-methoxy-5-nitroAniline,0.9788
2-methoxyAniline,0.96827
"2-methyl-4,6-dinitroPhenol",0.98987
2-methyl-5-nitroAniline,0.96527
2-methylIndole,0.99673
2-methylPhenol,0.98913
2-nitroAniline,0.9596
2-nitroPhenol,0.96053
2_3_5_6-TetrachloroAniline,0.97967
2_4-D-Butotyl,0.9752
2_4-Dichlorophenoxybutyric_acid,0.98013
2_4-DiisopropylPhenol,0.99747
2_4-Dimethyl-N-phenyl-5-thiazolecarboxamide,0.99593
2_4_6-TrichloroPhenol,0.99067
2_4_6-TriisopropylPhenol,0.99913
2_6-Di-tert-butyl-4-methoxyPhenol,0.99847
2_7_8_9-Tricyclazole,0.9838
"3,4-dimethoxyPhenol",0.99347
3-Chloro-4-methylbenzenamine_hydrochloride,0.96713
3-Ethoxy-4-hydroxybenzaldehyde,0.9862
3-aminobezoic_acid,0.76953
3-hydroxybenzoic_acid,0.84007
3-methoxyPhenol,0.981
3-nitroAniline,0.9396
3-nitroPhenol,0.9616
3_4-Dihydro-6-methyl-N-phenyl-2H-pyran-5-carboxami,0.98227
4-Aminobenzoic_acid,0.76993
4-Chloro-3-methylPhenol,0.98707
4-Chloro-3_5-dimethylPhenol,0.99293
4-Hydroxybenzoic_acid,0.84673
4-MethoxyPhenol,0.98713
4-Nitro-3-methylPhenol,0.98913
4-Propylanisole,0.99773
4-Tolyl_acetate,0.96367
4-chloroAniline,0.88267
4-chloroPhenol,0.96547
4-hydroxyPhenol,0.93607
4-hydroxyacetophenone,0.98067
4-methyl-3-nitroAniline,0.9584
4-methylAniline,0.93033
4-methylPhenol,0.9774
4-nitroAniline,0.9438
4-phenylenediamine,0.52187
4-tert-ButylPhenol,0.99433
