compound,encapsulation_mean
HEaSC00515,0.099333
HEaSC00583,0.108733
HEaSC00334,0.055267
HEaSC00167,0.090333
HEaSC00193,0.050667
HEaSC00072,0.022467
HEaSC00068,0.021333
HEaSC00457,0.064667
HEaSC00346,0.164933
HEaSC00536,0.076467
HEaSC00335,0.104449
HEaSC00538,0.137467
HEaSC00189,0.057933
HEaSC00434,0.112
HEaSC00231,0.112467
HEaSC00435,0.109667
HEaSC00325,0.065333
HEaSC00439,0.124267
HEaSC00331,0.074533
HEaSC00070,0.024933
HEaSC00253,0.058533
HEaSC00164,0.030333
HEaSC00055,0.126933
HEaSC00324,0.074733
HEaSC00174,0.023333
HEaSC00175,0.028533
HEaSC00161,0.022067
HEaSC00339,0.044267
HEaSC00373,0.059467
HEaSC00235,0.130267
HEaSC00344,0.1164
HEaSC00410,0.497867
HEaSC00338,0.065933
HEaSC00332,0.1522
HEaSC00581,0.0842
HEaSC00294,0.211733
HEaSC00579,0.073533
HEaSC00320,0.032867
HEaSC00184,0.033267
HEaSC00183,0.034133
HEaSC00078,0.033333
HEaSC00349,0.033467
HEaSC00139,0.0594
HEaSC00417,0.1656
HEaSC00274,0.191267
HEaSC00064,0.035067
HEaSC00057,0.034133
HEaSC00469,0.1376
HEaSC00354,0.077067
HEaSC00475,0.187467
HEaSC00249,0.304867
HEaSC00470,0.159267
HEaSC00472,0.1636
HEaSC00455,0.227133
HEaSC00436,0.422333
HEaSC00252,0.042
HEaSC00304,0.0384
HEaSC00319,0.030533
HEaSC00360,0.0428
HEaSC00185,0.0428
HEaSC00517,0.4932
HEaSC00306,0.133733
HEaSC00343,0.199467
HEaSC00409,0.450067
HEaSC00453,0.719067
HEaSC00452,0.747733
HEaSC00329,0.130533
HEaSC00271,0.1118
HEaSC00206,0.3028
HEaSC00524,0.168867
HEaSC00245,0.380333
HEaSC00150,0.0574
HEaSC00230,0.528733
HEaSC00592,0.144
HEaSC00162,0.040467
HEaSC00531,0.211
HEaSC00429,0.243333
HEaSC00428,0.27
HEaSC00159,0.043133
HEaSC00432,0.271933
HEaSC00187,0.046067
HEaSC00147,0.049267
HEaSC00188,0.0428
HEaSC00430,0.252467
HEaSC00433,0.282133
HEaSC00576,0.096533
HEaSC00228,0.269667
HEaSC00504,0.148867
HEaSC00211,0.4546
HEaSC00104,0.2034
HEaSC00485,0.258333
HEaSC00401,0.430533
HEaSC00488,0.222733
HEaSC00484,0.239267
HEaSC00503,0.124467
HEaSC00449,0.3796
HEaSC00264,0.150267
HEaSC00451,0.341133
HEaSC00120,0.1558
HEaSC00222,0.128133
HEaSC00502,0.106733
HEaSC00136,0.200467
HEaSC00491,0.239067
HEaSC00603,0.208467
HEaSC00525,0.3208
HEaSC00437,0.434333
HEaSC00316,0.1572
HEaSC00342,0.246933
HEaSC00394,0.4508
HEaSC00160,0.05
HEaSC00505,0.664533
HEaSC00220,0.538133
HEaSC00087,0.092533
HEaSC00514,0.283933
HEaSC00121,0.236933
HEaSC00345,0.158533
HEaSC00305,0.261333
HEaSC00122,0.255333
HEaSC00106,0.403533
HEaSC00495,0.556467
HEaSC00363,0.118733
HEaSC00364,0.130667
HEaSC00273,0.210267
HEaSC00596,0.290133
HEaSC00250,0.179733
